Negative,Positive,WC
0.999990,0.000010,26
0.000050,0.999950,23
0.989533,0.010467,23
0.001233,0.998767,19
0.000040,0.999960,24
1.000000,0.000000,23
0.999654,0.000346,22
0.767169,0.232831,19
0.962999,0.037001,24
0.430853,0.569147,17
0.000000,1.000000,16
1.000000,0.000000,23
0.969086,0.030914,20
0.962666,0.037334,20
0.999989,0.000011,20
0.001042,0.998958,26
0.999530,0.000470,8
0.000089,0.999911,28
0.999850,0.000150,19
0.003941,0.996059,23
0.999999,0.000001,21
0.000027,0.999973,19
0.999996,0.000004,19
1.000000,0.000000,18
0.777909,0.222091,15
1.000000,0.000000,18
0.000000,1.000000,16
0.998572,0.001428,9
1.000000,0.000000,17
0.271031,0.728969,22
0.995730,0.004270,20
0.001543,0.998457,19
0.100002,0.899998,21
0.001126,0.998874,23
0.689270,0.310730,14
0.830679,0.169321,23
0.004049,0.995951,9
0.997591,0.002409,24
0.000706,0.999294,24
0.009056,0.990944,19
0.999698,0.000302,28
0.000123,0.999876,22
0.999094,0.000906,28
0.001441,0.998559,22
0.566818,0.433182,25
0.000617,0.999383,25
0.118238,0.881762,24
0.999252,0.000747,25
0.999999,0.000001,22
0.063273,0.936727,22
0.999972,0.000028,23
0.997815,0.002185,21
1.000000,0.000000,22
1.000000,0.000000,20
1.000000,0.000000,24
1.000000,0.000000,20
0.995287,0.004713,19
0.839874,0.160126,23
0.949353,0.050647,25
0.000028,0.999972,16
0.999854,0.000146,23
0.006700,0.993300,28
0.937048,0.062952,14
0.000137,0.999863,23
0.999995,0.000005,18
0.000021,0.999979,19
0.000001,0.999999,17
0.039228,0.960772,19
0.991557,0.008443,22
0.954538,0.045462,19
0.863537,0.136462,23
0.868242,0.131758,5
0.001359,0.998641,23
0.000000,1.000000,23
0.000008,0.999992,15
0.999989,0.000011,16
1.000000,0.000000,22
0.796377,0.203623,20
0.000092,0.999908,21
1.000000,0.000000,24
0.000003,0.999997,21
0.000191,0.999809,19
0.601212,0.398788,21
0.999927,0.000073,13
0.999998,0.000002,20
1.000000,0.000000,20
0.999995,0.000005,26
0.999742,0.000258,21
0.000338,0.999662,24
1.000000,0.000000,24
0.999988,0.000012,19
0.996354,0.003646,16
0.109037,0.890963,27
0.999995,0.000005,19
0.366560,0.633440,20
0.000001,0.999999,25
0.155875,0.844125,26
1.000000,0.000000,20
0.000001,0.999999,21
0.985414,0.014586,21
0.115855,0.884145,19
1.000000,0.000000,17
0.994594,0.005406,24
0.999964,0.000036,26
1.000000,0.000000,21
0.169603,0.830397,23
1.000000,0.000000,27
0.000000,1.000000,17
0.004269,0.995731,27
0.003086,0.996914,25
1.000000,0.000000,27
0.000870,0.999130,22
0.000381,0.999619,25
0.024946,0.975054,21
0.999992,0.000008,22
0.999998,0.000002,22
0.000005,0.999995,20
0.939668,0.060332,22
0.950096,0.049904,24
0.999999,0.000001,27
0.044870,0.955130,18
0.000093,0.999907,21
0.000835,0.999165,21
0.000000,1.000000,27
0.000000,1.000000,22
0.998848,0.001152,24
1.000000,0.000000,23
0.999825,0.000175,21
0.000043,0.999957,13
0.999975,0.000025,17
0.008969,0.991031,20
1.000000,0.000000,17
0.988174,0.011826,20
0.244683,0.755317,21
0.995654,0.004346,25
0.000000,1.000000,18
0.002341,0.997659,18
0.638137,0.361863,24
0.001746,0.998254,17
0.991417,0.008583,24
0.526499,0.473501,21
0.991867,0.008133,23
0.999015,0.000985,21
1.000000,0.000000,25
0.992018,0.007982,19
0.980606,0.019394,22
0.000019,0.999981,24
1.000000,0.000000,22
0.000000,1.000000,24
0.998580,0.001421,39
1.000000,0.000000,21
0.000000,1.000000,19
