Negative,Positive,WC
0.999928,0.000072,25
0.000000,1.000000,21
0.990688,0.009312,22
0.000046,0.999954,14
0.991425,0.008575,15
0.001766,0.998234,22
0.000000,1.000000,21
0.040627,0.959373,19
0.999981,0.000019,25
0.999132,0.000868,23
0.999998,0.000002,26
0.000000,1.000000,25
0.000002,0.999998,24
1.000000,0.000000,25
0.081440,0.918560,26
1.000000,0.000000,20
0.380605,0.619395,20
0.999998,0.000002,23
0.000000,1.000000,24
0.999488,0.000512,22
0.914342,0.085658,20
0.996829,0.003171,24
0.000321,0.999679,22
0.706544,0.293456,24
0.000568,0.999432,26
0.945694,0.054306,25
1.000000,0.000000,28
0.580174,0.419826,24
0.000001,0.999999,22
1.000000,0.000000,20
0.000002,0.999998,22
0.008201,0.991799,24
0.000033,0.999967,24
0.999998,0.000002,15
0.000112,0.999888,20
1.000000,0.000000,20
1.000000,0.000000,25
0.000000,1.000000,23
1.000000,0.000000,20
0.994772,0.005228,24
0.009092,0.990908,18
0.657219,0.342781,26
0.000001,0.999999,28
0.000000,1.000000,21
0.028589,0.971411,22
0.000000,1.000000,25
0.003885,0.996115,9
0.000000,1.000000,10
0.999996,0.000004,23
0.208113,0.791887,24
0.194077,0.805923,29
0.936209,0.063791,25
0.440287,0.559713,23
0.060727,0.939273,25
0.001080,0.998920,22
0.969984,0.030016,24
0.999926,0.000074,18
0.970603,0.029398,20
0.995449,0.004551,25
0.000001,0.999999,22
0.000014,0.999986,24
0.999998,0.000002,25
0.137680,0.862320,9
0.997703,0.002297,13
0.000003,0.999997,26
0.015489,0.984511,30
0.999989,0.000011,23
0.000045,0.999955,24
0.000002,0.999998,26
0.165844,0.834155,29
0.000042,0.999959,22
0.999866,0.000134,22
0.998541,0.001459,20
0.986264,0.013736,19
0.022460,0.977540,21
0.997924,0.002076,23
1.000000,0.000000,28
0.000582,0.999418,25
1.000000,0.000000,23
1.000000,0.000000,23
1.000000,0.000000,25
0.006210,0.993790,23
0.000000,1.000000,27
0.999934,0.000066,23
0.999999,0.000001,25
1.000000,0.000000,21
0.049363,0.950637,20
0.215920,0.784080,25
0.047870,0.952130,21
1.000000,0.000000,21
0.000004,0.999996,20
0.047214,0.952786,22
0.999923,0.000077,25
0.698225,0.301775,20
0.120993,0.879007,24
0.629480,0.370520,22
0.922729,0.077271,27
0.000000,1.000000,19
1.000000,0.000000,25
0.000363,0.999637,30
0.999886,0.000114,20
0.999966,0.000034,21
1.000000,0.000000,24
0.000445,0.999555,27
0.794983,0.205017,23
0.980742,0.019258,22
0.999952,0.000048,18
0.999798,0.000202,21
0.010021,0.989979,23
0.000000,1.000000,26
0.997383,0.002617,17
0.707449,0.292551,23
0.990258,0.009742,21
1.000000,0.000000,20
0.002308,0.997692,21
1.000000,0.000000,24
0.999944,0.000056,23
0.980616,0.019384,25
0.999505,0.000495,29
0.000000,1.000000,18
0.585847,0.414153,18
0.999784,0.000216,18
0.000164,0.999836,22
0.003222,0.996778,21
0.076489,0.923511,23
1.000000,0.000000,11
0.877634,0.122366,14
0.000005,0.999995,17
1.000000,0.000000,27
0.999997,0.000003,26
0.000003,0.999997,26
0.032616,0.967384,22
0.999397,0.000603,24
0.000004,0.999996,15
0.193430,0.806570,23
0.000001,1.000000,26
0.000004,0.999996,23
0.036625,0.963375,24
0.000001,0.999999,23
0.999999,0.000001,20
1.000000,0.000000,23
0.000000,1.000000,21
0.997483,0.002517,22
1.000000,0.000000,25
0.000000,1.000000,33
0.000035,0.999964,36
0.876931,0.123069,22
0.877013,0.122987,23
0.999993,0.000007,26
0.182501,0.817499,22
0.000016,0.999984,23
0.044689,0.955311,22
0.804852,0.195148,23
0.993531,0.006469,11
0.000016,0.999984,15
0.364816,0.635184,27
0.000001,0.999999,20
0.950921,0.049079,28
0.999450,0.000550,20
0.904945,0.095055,19
0.006610,0.993390,20
0.999999,0.000001,24
0.003100,0.996900,24
0.000381,0.999619,21
0.999998,0.000002,24
0.034786,0.965214,24
0.999997,0.000003,19
0.023466,0.976534,22
0.999985,0.000015,22
0.073057,0.926943,22
1.000000,0.000000,21
1.000000,0.000000,25
0.999983,0.000017,22
0.999694,0.000306,23
1.000000,0.000000,21
0.000000,1.000000,23
0.000701,0.999299,19
0.999786,0.000214,25
1.000000,0.000000,23
0.991112,0.008888,27
0.434147,0.565852,17
0.092684,0.907316,19
0.000090,0.999910,21
0.002220,0.997780,20
0.006815,0.993185,21
1.000000,0.000000,20
0.000000,1.000000,25
0.999999,0.000001,20
1.000000,0.000000,22
