"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Join me on #FaceBookLive in 5 min.",FALSE,591,NA,2016-04-19 22:06:06,FALSE,NA,"722546843016671234",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",109,FALSE,FALSE,NA,NA
"RT @OWNTV: Happy Birthday to the beautiful @kim_hawthorne. Can't wait to see her on #Greenleaf this summer! https://t.co/ygbKxf1ld7",FALSE,0,NA,2016-04-19 22:04:16,FALSE,NA,"722546384403083264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",66,TRUE,FALSE,NA,NA
"Wasn't that a thing of Beauty? #SuperSoulSunday",FALSE,557,NA,2016-04-17 16:00:07,FALSE,NA,"721729964433809408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",141,FALSE,FALSE,NA,NA
"@cherylaction @GrowingOWN @charity @RichOnOWN thanks .. Have 3 ""daughters"" at that school.",FALSE,66,"cherylaction",2016-04-17 15:58:53,FALSE,"721729504947744768","721729654537621504","170358558","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",13,FALSE,FALSE,NA,NA
"Please stay tuned for Super Soul Short . One of my fav's ever. #SuperSoulSunday",FALSE,478,NA,2016-04-17 15:56:56,FALSE,NA,"721729164395421696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",94,FALSE,FALSE,NA,NA
"""Religion is the language we use to express what  is inexpressable"" @rezaaslan #SuperSoulSunday",FALSE,1440,NA,2016-04-17 15:17:58,FALSE,NA,"721719357072494592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",488,FALSE,FALSE,NA,NA
"Faith is a choice. @rezaaslan your 3 questions very poignant.#SuperSoulSunday",FALSE,723,NA,2016-04-17 15:08:25,FALSE,NA,"721716954256400385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",169,FALSE,FALSE,NA,NA
"@mariashriver my sweet friend are you watching #SuperSoulSunday",FALSE,89,"mariashriver",2016-04-17 15:05:07,FALSE,"721715843466338304","721716125105434624","19362341","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",11,FALSE,FALSE,NA,NA
"@3LWTV @OWNTV @rezaaslan Santa Barbara in the house.#SuperSoulSunday",FALSE,46,"3LWTV",2016-04-17 15:03:56,FALSE,"721715394386518016","721715827813146625","20831692","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",11,FALSE,FALSE,NA,NA
"Morning SuperSoulers  gettin' my chai on . See u in 15 mins. #SuperSoulSunday",FALSE,700,NA,2016-04-17 14:46:32,FALSE,NA,"721711446485118976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",131,FALSE,FALSE,NA,NA
