Negative,Positive,WC
0.000563,0.999437,19
0.999987,0.000013,19
0.964547,0.035453,25
0.081904,0.918095,5
0.000000,1.000000,14
0.000168,0.999832,20
0.982353,0.017647,23
0.292090,0.707910,20
0.000005,0.999995,8
0.999967,0.000033,11
0.991061,0.008939,8
0.078740,0.921260,14
0.999783,0.000217,22
0.000804,0.999196,5
0.043801,0.956199,24
0.000810,0.999190,23
0.000031,0.999969,21
0.999935,0.000065,21
0.964718,0.035282,21
0.000000,1.000000,19
0.000111,0.999889,23
0.000032,0.999968,24
0.000000,1.000000,22
0.932889,0.067111,20
0.970681,0.029319,26
0.000237,0.999763,26
1.000000,0.000000,7
0.998955,0.001045,22
0.996132,0.003868,14
1.000000,0.000000,22
1.000000,0.000000,25
0.081085,0.918915,23
0.999923,0.000077,25
1.000000,0.000000,22
0.000000,1.000000,20
0.000000,1.000000,22
0.015237,0.984763,22
0.000000,1.000000,7
0.999997,0.000003,19
0.965171,0.034829,23
0.999748,0.000252,21
0.665093,0.334907,21
0.999571,0.000429,26
0.999999,0.000001,17
0.000000,1.000000,5
0.980592,0.019408,17
1.000000,0.000000,21
1.000000,0.000000,26
0.924345,0.075655,23
0.999959,0.000041,23
0.000001,0.999999,21
1.000000,0.000000,21
0.999948,0.000052,16
0.000852,0.999148,19
0.999987,0.000013,20
0.961861,0.038139,12
1.000000,0.000000,24
1.000000,0.000000,19
0.493537,0.506463,1
0.000000,1.000000,11
0.999997,0.000003,20
0.002686,0.997314,24
0.000116,0.999884,8
0.477164,0.522836,4
0.964173,0.035827,20
0.999949,0.000051,26
0.448875,0.551125,22
1.000000,0.000000,25
0.802958,0.197042,25
1.000000,0.000000,26
0.999996,0.000004,20
0.999830,0.000170,23
0.999471,0.000529,22
0.999999,0.000001,22
0.007199,0.992801,22
0.999998,0.000002,21
0.000161,0.999839,16
0.000009,0.999991,23
0.999848,0.000152,29
0.142881,0.857119,22
0.000001,0.999999,23
0.999278,0.000722,20
1.000000,0.000000,21
0.998747,0.001253,19
0.000113,0.999887,18
0.630834,0.369166,1
1.000000,0.000000,18
0.016455,0.983545,31
0.996720,0.003280,21
0.061598,0.938402,21
1.000000,0.000001,15
0.000756,0.999244,20
0.000001,0.999999,21
0.969177,0.030823,18
1.000000,0.000000,21
0.001553,0.998447,20
0.999999,0.000001,21
0.999991,0.000009,22
0.025679,0.974321,19
0.124341,0.875659,23
0.000000,1.000000,12
0.035506,0.964494,21
0.244256,0.755744,20
0.991131,0.008869,26
0.493537,0.506463,1
0.997119,0.002881,11
1.000000,0.000000,19
1.000000,0.000000,21
1.000000,0.000000,26
0.933572,0.066428,13
0.997963,0.002037,17
0.998979,0.001021,4
0.000000,1.000000,20
0.999919,0.000081,20
0.957426,0.042574,5
0.997962,0.002037,22
1.000000,0.000000,20
0.936938,0.063062,21
0.000000,1.000000,8
1.000000,0.000000,24
0.000001,0.999999,21
0.724842,0.275158,21
0.949405,0.050595,17
0.999999,0.000001,15
0.053067,0.946933,17
0.050156,0.949844,25
0.999997,0.000003,25
0.462622,0.537378,22
0.000885,0.999115,21
0.997577,0.002423,22
1.000000,0.000000,13
